Observationsstation;År;Månad;Dag;Tid [Lokal tid];Lufttemperatur [°C];Daggpunktstemperatur [°C];Molnighet [1/8];Lufttryck [hPa];Relativ luftfuktighet [%];Nederbördsmängd [mm];Snödjup [cm];Horisontell sikt [m];Vindriktning [°];Byvindshastighet [m/s];Vindhastighet [m/s]
Helsingfors Kajsaniemi;2025;1;1;08:20;-1;-1,7;Mulet (8/8);991,9;95;0,23;3;910;118;12,4;8,6
Helsingfors Kajsaniemi;2025;1;1;08:30;-0,9;-1,6;Mulet (8/8);991,4;95;0,22;3;780;115;12,3;8,9
Helsingfors Kajsaniemi;2025;1;1;08:40;-0,8;-1,4;Mulet (8/8);991,1;96;0,23;4;820;115;12,2;9
Helsingfors Kajsaniemi;2025;1;1;08:50;-0,8;-1,4;Mulet (8/8);990,8;96;0,17;4;510;118;12,4;7,5
Helsingfors Kajsaniemi;2025;1;1;09:00;-0,8;-1,3;Mulet (8/8);990,4;96;0,27;4;690;118;10,6;7,3
Helsingfors Kajsaniemi;2025;1;1;09:10;-0,8;-1,3;Mulet (8/8);990,1;96;0,18;4;810;117;11,9;7,6
Helsingfors Kajsaniemi;2025;1;1;09:20;-0,7;-1,2;Mulet (8/8);989,7;96;0,05;5;1760;117;11,3;7,8
Helsingfors Kajsaniemi;2025;1;1;09:30;-0,7;-1,3;Mulet (8/8);989,4;96;0,08;4;1700;118;10,5;7
Helsingfors Kajsaniemi;2025;1;1;09:40;-0,6;-1,2;Mulet (8/8);989,1;95;0,02;4;2120;114;10,5;7,8
Helsingfors Kajsaniemi;2025;1;1;09:50;-0,5;-1,1;Mulet (8/8);988,8;95;0;4;2170;116;10,9;7,6
Helsingfors Kajsaniemi;2025;1;1;10:00;-0,4;-1;Mulet (8/8);988,4;96;0,12;4;1660;114;9;7
Helsingfors Kajsaniemi;2025;1;1;10:10;-0,3;-0,9;Mulet (8/8);988,1;96;0,12;4;1660;115;9,3;6,7
Helsingfors Kajsaniemi;2025;1;1;10:20;-0,2;-0,7;Mulet (8/8);987,8;96;0,18;5;1950;113;10,3;7
Helsingfors Kajsaniemi;2025;1;1;10:30;-0,1;-0,6;Mulet (8/8);987,6;97;0,17;5;1300;112;8,3;6,6
Helsingfors Kajsaniemi;2025;1;1;10:40;-0,1;-0,5;Mulet (8/8);987,3;97;0,42;5;910;111;8,1;6,1
Helsingfors Kajsaniemi;2025;1;1;10:50;0;-0,4;Mulet (8/8);987;97;0,5;5;950;106;6,8;4,4
Helsingfors Kajsaniemi;2025;1;1;11:00;0;-0,3;Mulet (8/8);986,6;98;0,27;5;1740;98;5,3;3,8
Helsingfors Kajsaniemi;2025;1;1;11:10;0,1;-0,2;Mulet (8/8);986,2;98;0,13;6;1750;93;5,3;3,5
Helsingfors Kajsaniemi;2025;1;1;11:20;0,1;-0,2;Mulet (8/8);985,9;98;0,17;6;1890;92;4,7;3,4
Helsingfors Kajsaniemi;2025;1;1;11:30;0,2;-0,1;Mulet (8/8);985,6;98;0,12;7;2140;88;5;3,6
Helsingfors Kajsaniemi;2025;1;1;11:40;0,2;0;Mulet (8/8);985,2;98;0,18;6;2110;85;5,3;3,9
Helsingfors Kajsaniemi;2025;1;1;11:50;0,3;0;Mulet (8/8);985;98;0,12;6;1960;81;5;3,8
Helsingfors Kajsaniemi;2025;1;1;12:00;0,2;0;Mulet (8/8);984,6;98;0,22;6;1610;85;4,9;3,8
Helsingfors Kajsaniemi;2025;1;1;12:10;0,2;0;Mulet (8/8);984,3;98;0,18;6;1870;79;4,9;3,5
Helsingfors Kajsaniemi;2025;1;1;12:20;0,3;0,1;Mulet (8/8);984,1;98;0,18;6;3910;77;3,8;2,5
Helsingfors Kajsaniemi;2025;1;1;12:30;0,4;0,2;Mulet (8/8);983,8;98;0;6;5850;81;3,5;2,4
Helsingfors Kajsaniemi;2025;1;1;12:40;0,4;0,2;Mulet (8/8);983,6;98;0,07;6;6300;80;3,8;2,5
Helsingfors Kajsaniemi;2025;1;1;12:50;0,4;0,2;Mulet (8/8);983,3;98;0;6;7920;79;4,1;2,5
